Day,temperature_anomaly
1941,0.186666667
1942,0.065833333
1943,0.088333333
1944,0.203333333
1945,0.09
1946,-0.074166667
1947,-0.028333333
1948,-0.108333333
1949,-0.111666667
1950,-0.174166667
1951,-0.07
1952,0.01
1953,0.079166667
1954,-0.1325
1955,-0.140833333
1956,-0.190833333
1957,0.048333333
1958,0.06
1959,0.03
1960,-0.025
1961,0.0575
1962,0.031666667
1963,0.055833333
1964,-0.198333333
1965,-0.106666667
1966,-0.056666667
1967,-0.023333333
1968,-0.083333333
1969,0.051666667
1970,0.025
1971,-0.0825
1972,0.008333333
1973,0.160833333
1974,-0.07
1975,-0.013333333
1976,-0.096666667
1977,0.176666667
1978,0.068333333
1979,0.165
1980,0.259166667
1981,0.3225
1982,0.138333333
1983,0.313333333
1984,0.1575
1985,0.119166667
1986,0.180833333
1987,0.323333333
1988,0.39
1989,0.270833333
1990,0.45
1991,0.405
1992,0.22
1993,0.231666667
1994,0.315
1995,0.445833333
1996,0.328333333
1997,0.461666667
1998,0.6075
1999,0.385833333
2000,0.3925
2001,0.538333333
2002,0.6275
2003,0.618333333
2004,0.535
2005,0.675
2006,0.6375
2007,0.663333333
2008,0.543333333
2009,0.658333333
2010,0.7225
2011,0.605833333
2012,0.645
2013,0.675833333
2014,0.745833333
2015,0.894166667
2016,1.015
2017,0.920833333
2018,0.844166667
2019,0.979166667
2020,1.020833333
